Almacen,Código de barras,Stock min,ROP,Stock Max
CEDIS,767332154268,3,5,8
CEDIS,767332154275,1,2,3
CEDIS,767332154282,1,2,3
CEDIS,767332154558,0,0,0
CEDIS,767332154572,2,3,5
CEDIS,767332601243,0,0,0
CEDIS,767332601335,3,4,7
CEDIS,767332603773,0,0,0
CEDIS,767332603797,0,0,0
CEDIS,767332603810,1,2,3
CEDIS,767332603827,2,3,5
CEDIS,767332603919,1,2,3
CEDIS,767332800943,0,0,0
CEDIS,767332802541,0,0,0
CEDIS,767332802565,1,2,3
CEDIS,767332802725,0,0,0
CEDIS,767332802824,0,0,0
CEDIS,767332802947,0,0,0
CEDIS,767332803142,0,0,0
CEDIS,767332805146,0,0,0
CEDIS,767332805757,1,2,3
CEDIS,767332806402,0,0,0
CEDIS,767332806419,0,0,0
CEDIS,767332806433,0,0,0
CEDIS,767332806914,0,0,0
CEDIS,767332807935,4,5,8
CEDIS,767332807980,1,2,4
CEDIS,767332808239,0,0,0
CEDIS,767332808246,0,0,0
CEDIS,767332808307,0,0,0
CEDIS,767332808314,0,0,0
CEDIS,767332808338,0,0,0
CEDIS,767332808734,0,0,0
CEDIS,767332808864,0,0,0
CEDIS,767332808895,0,0,0
CEDIS,767332808970,0,0,0
CEDIS,767332809328,0,0,0
CEDIS,767332809632,2,3,5
CEDIS,767332810751,4,6,10
CEDIS,767332810799,2,3,5
CEDIS,767332811246,0,0,0
CEDIS,767332811284,0,0,0
CEDIS,767332802312,0,0,0
CEDIS,767332811352,4,6,7
CEDIS,767332928340,0,0,0
CEDIS,767332928364,0,1,1
CEDIS,767332928425,1,2,3
CEDIS,767332928463,1,2,3
CEDIS,768455102822,0,0,0
CEDIS,768455106912,0,0,0
CEDIS,788492808274,0,0,0
CEDIS,788492808275,0,0,0
CEDIS,792105676159,0,0,0
CEDIS,794504050004,4,6,10
CEDIS,797698113333,12,18,32
CEDIS,797776088935,0,0,0
CEDIS,798190088006,0,0,0
CEDIS,798190088020,0,0,0
CEDIS,798190088044,0,0,0
CEDIS,799439039063,2,3,5
CEDIS,799439039070,4,6,10
CEDIS,810066503083,0,0,0
CEDIS,810066503106,0,0,0
CEDIS,810066503250,0,0,0
CEDIS,810168640563,5,8,12
CEDIS,810168640648,1,2,3
CEDIS,810168640730,1,2,3
CEDIS,810866010019,1,2,3
CEDIS,810866010026,0,0,0
CEDIS,810866010040,0,0,0
CEDIS,810866010088,1,2,3
CEDIS,810866010361,0,0,0
CEDIS,810866010408,0,0,0
CEDIS,810866010446,0,0,0
CEDIS,810866010514,0,0,0
CEDIS,810866010545,0,0,0
CEDIS,810866010576,15,20,35
CEDIS,810866010606,0,0,0
CEDIS,810866010699,0,0,0
CEDIS,810866010750,0,0,0
CEDIS,810866010798,1,2,3
CEDIS,810866011832,0,0,0
CEDIS,810866011931,0,0,0
CEDIS,810866012051,0,0,0
CEDIS,810866012822,1,2,3
CEDIS,810866014079,0,0,0
CEDIS,810866014345,0,0,0
CEDIS,810866015038,0,0,0
CEDIS,810866015052,0,0,0
CEDIS,810866015144,0,0,0
CEDIS,810866016103,0,0,0
CEDIS,810866016592,0,0,0
CEDIS,810866016653,0,0,0
CEDIS,810866017964,0,0,0
CEDIS,811390010469,0,0,0
CEDIS,811390010582,0,0,0
CEDIS,813419020145,0,0,0
CEDIS,813419020589,0,0,0
CEDIS,813419020602,0,0,0
CEDIS,813419021371,0,0,0
CEDIS,813419021388,0,0,0
CEDIS,813419021708,2,4,6
CEDIS,813419021715,1,2,3
CEDIS,813419021722,1,2,3
CEDIS,813419021739,0,0,0
CEDIS,813419022446,0,0,0
CEDIS,813419022453,0,0,0
CEDIS,813419022460,0,0,0
CEDIS,813419022477,0,0,0
CEDIS,813419023504,0,0,0
CEDIS,813419023535,0,0,0
CEDIS,813419023573,0,0,0
CEDIS,813419023610,0,0,0
CEDIS,813419023634,0,0,0
CEDIS,813419023887,4,6,9
CEDIS,813419023900,7,11,17
CEDIS,813419023924,0,0,0
CEDIS,813419023948,1,2,3
CEDIS,813419023962,0,0,0
CEDIS,813419024013,1,2,3
CEDIS,813419024044,3,4,7
CEDIS,813419026659,1,2,3
CEDIS,813419026673,5,7,12
CEDIS,813419026697,3,5,8
CEDIS,813419026710,5,7,12
CEDIS,813419026796,3,5,8
CEDIS,813419026987,0,0,0
CEDIS,813419027052,0,0,0
CEDIS,813419027090,2,3,5
CEDIS,813419027151,0,0,0
CEDIS,813419027212,2,3,5
CEDIS,813419027342,3,4,6
CEDIS,813419027366,34,46,78
CEDIS,813419027380,48,65,110
CEDIS,813419027403,3,5,7
CEDIS,813419027854,0,0,0
CEDIS,813419028134,6,9,15
CEDIS,813419028141,2,4,6
CEDIS,813419028158,4,6,10
CEDIS,813424022400,0,0,0
CEDIS,813424022493,0,0,0
CEDIS,813424022530,0,0,0
CEDIS,813424022707,0,0,0
CEDIS,816378020119,0,0,0
CEDIS,816378020126,3,5,8
CEDIS,816378020300,0,0,0
CEDIS,816378020485,0,0,0
CEDIS,816378020843,4,6,10
CEDIS,816378021345,0,0,0
CEDIS,816378021352,3,6,10
CEDIS,816378021383,7,11,18
CEDIS,816378021475,0,0,0
CEDIS,816378021512,0,0,0
CEDIS,816378021628,0,0,0
CEDIS,816378021895,0,0,0
CEDIS,816378022083,0,0,0
CEDIS,816378022090,0,0,0
CEDIS,816378022106,3,6,10
CEDIS,816378022113,6,8,14
CEDIS,816378022120,0,0,0
CEDIS,816378022137,0,0,0
CEDIS,816378022144,0,0,0
CEDIS,816378022151,0,0,0
CEDIS,816378022168,6,8,13
CEDIS,816378022175,5,8,13
CEDIS,816378022199,2,3,4
CEDIS,816378022458,0,0,0
CEDIS,816378022489,0,0,0
CEDIS,816378022830,1,4,5
CEDIS,816378020317,0,0,0
CEDIS,816378022991,10,15,22
CEDIS,816378023028,0,3,3
CEDIS,816378023035,0,2,2
CEDIS,816378023059,0,3,3
CEDIS,816378023066,0,3,3
CEDIS,820103542616,2,3,5
CEDIS,820103542678,0,0,0
CEDIS,827854001119,6,8,15
CEDIS,827854008002,1,2,3
CEDIS,827854009924,1,2,3
CEDIS,827854009931,1,2,3
CEDIS,827854010111,0,0,0
CEDIS,827854010210,0,0,0
CEDIS,827854021605,0,1,1
CEDIS,833753000023,0,0,0
CEDIS,850019136104,0,0,0
CEDIS,850019136111,0,0,0
CEDIS,850028616000,0,0,0
CEDIS,850028616017,0,0,0
CEDIS,850028616086,0,0,0
