Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,3282776385421,3,3
Sucursal Centro,3282776088209,1,1
Sucursal Centro,3282776141454,0,0
Sucursal Centro,3282770205633,0,0
Sucursal Centro,3282770390315,0,0
Sucursal Centro,3282770146394,2,2
Sucursal Centro,3282770398021,4,4
Sucursal Centro,3282770202854,3,3
Sucursal Centro,3282770395365,2,2
Sucursal Centro,3282770144970,0,0
Sucursal Centro,3282770037678,0,0
Sucursal Centro,3282770114874,0,0
Sucursal Centro,3282770959888,0,0
Sucursal Centro,3282770139204,0,0
Sucursal Centro,3282770207774,4,4
Sucursal Centro,3282770139228,1,1
Sucursal Centro,3282770956788,3,3
Sucursal Centro,3282770037166,0,0
Sucursal Centro,3282770144413,1,1
Sucursal Centro,3282779041966,0,0
Sucursal Centro,3282770037159,0,0
Sucursal Centro,3282770390469,1,1
Sucursal Centro,3282770205589,0,0
Sucursal Centro,3282770205671,0,0
Sucursal Centro,3282779254878,0,0
Sucursal Centro,3282779363211,0,0
Sucursal Centro,3282770100273,0,0
Sucursal Centro,3282771052809,0,0
Sucursal Centro,3282776108495,0,0
Sucursal Centro,3282770905076,1,1
Sucursal Centro,3282779348850,0,0
Sucursal Centro,3282770201727,0,0
Sucursal Centro,3282770200515,2,2
Sucursal Centro,3282770200478,1,1
Sucursal Centro,3282770200553,1,1
Sucursal Centro,3282770200591,0,0
Sucursal Centro,3282770073126,0,0
Sucursal Centro,3282776161896,0,0
Sucursal Centro,3282776108549,0,0
Sucursal Centro,3282770152371,0,0
Sucursal Centro,3282779350679,0,0
Sucursal Centro,3282770100877,0,0
Sucursal Centro,3282770153170,3,3
Sucursal Centro,3282770153217,1,1
Sucursal Centro,3282770153200,1,1
Sucursal Centro,3282770153101,2,2
Sucursal Centro,3282776114168,0,0
Sucursal Centro,3282776438295,0,0
Sucursal Centro,3282779390064,0,0
Sucursal Centro,3282779385138,0,0
Sucursal Centro,3282779385121,0,0
Sucursal Centro,3282779385374,0,0
Sucursal Centro,3282779391320,0,0
Sucursal Centro,3282779401531,0,0
Sucursal Centro,3282779353687,0,0
Sucursal Centro,3282779376570,0,0
Sucursal Centro,3282779433587,0,0
Sucursal Centro,3282779353632,0,0
Sucursal Centro,3282779370424,0,0
Sucursal Centro,3282779370417,0,0
Sucursal Centro,3282770152555,0,0
Sucursal Centro,3282770152456,0,0
Sucursal Centro,3282776183003,0,0
Sucursal Centro,3282770390179,0,0
Sucursal Centro,3282771044217,0,0
Sucursal Centro,3282776162275,0,0
Sucursal Centro,3282779420884,0,0
Sucursal Centro,3282770905090,0,0
Sucursal Centro,3282770101652,0,0
Sucursal Centro,3282770208214,0,0
Sucursal Centro,3282770208245,0,0
Sucursal Centro,3282770101669,0,0
Sucursal Centro,3282779280198,0,0
Sucursal Centro,3282779347631,0,0
Sucursal Centro,3282779380706,0,0
Sucursal Centro,3282779391306,0,0
Sucursal Centro,3282779353519,0,0
Sucursal Centro,3282779353526,0,0
Sucursal Centro,3282779354004,0,0
Sucursal Centro,3282779353724,0,0
Sucursal Centro,3282779353656,0,0
Sucursal Centro,3282779373722,0,0
Sucursal Centro,3282779370400,0,0
Sucursal Centro,3282779327480,0,0
Sucursal Centro,3282779400534,0,0
Sucursal Centro,3282779347587,0,0
Sucursal Centro,3282779380829,0,0
Sucursal Centro,3282779365857,0,0
Sucursal Centro,3282770049350,0,0
Sucursal Centro,3282770049312,0,0
Sucursal Centro,3282770049336,0,0
Sucursal Centro,3282770049381,0,0
Sucursal Centro,3282770072365,0,0
Sucursal Centro,3282770110753,0,0
Sucursal Centro,3282770397024,2,2
Sucursal Centro,3282770393583,0,0
Sucursal Centro,3282776478307,0,0
Sucursal Centro,3282779354585,0,0
Sucursal Centro,3282770114096,0,0
Sucursal Centro,3282770074758,0,0
Sucursal Centro,3282770074741,0,0
